dxy_z,real_z,vix_z,risk_z,nom_z,do_ctx,mom,range_to_atr20,activity,vol_pct,spread_pts,news_lock,gap_pct,pct24h,sess_asia,sess_london,sess_newyork,sess_off,q_ok,q_degraded,q_poor,dxyZ_fresh,realZ_fresh,vixZ_fresh,risk_on_fresh,nominalZ_fresh,do_ctx_fresh,mom_fresh,target,_timestamp,_price_now
0.0,0.0,0.0,0.0,0.0,0.0,8.548148148148199,2.7075078039661875,0.04137059315799532,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:40:00,4375.98
0.0,0.0,0.0,0.0,0.0,0.0,5.892631578947594,2.7096068920250826,0.0379117559217387,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:45:00,4372.59
0.0,0.0,0.0,0.0,0.0,0.0,3.869631901840434,2.7112066105111783,0.03361641720943519,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:50:00,4370.01
0.0,0.0,0.0,0.0,0.0,0.0,11.872586872587208,2.692939094488363,0.032776218400140306,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:55:00,4373.66
0.0,0.0,0.0,0.0,0.0,0.0,8.24403183023823,2.612847242070806,0.0378993477502931,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:00:00,4373.39
0.0,0.0,0.0,0.0,0.0,0.0,4.728855721393239,2.623467704585531,0.03418065683235456,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:05:00,4383.13
0.0,0.0,0.0,0.0,0.0,0.0,3.250000000000001,2.7204360315506144,0.045357186264805754,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:10:00,4410.69
0.0,0.0,0.0,0.0,0.0,0.0,0.22379582503503842,11.837616377259613,0.08044898650086438,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T00:15:00,4434.93
0.0,0.0,0.0,0.0,0.0,0.0,1.3805950840879488,11.897999632210208,0.10038372461453415,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:20:00,4404.69
0.0,0.0,0.0,0.0,0.0,0.0,1.3738556525441707,11.711506084677003,0.05338059381349375,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:25:00,4425.05
0.0,0.0,0.0,0.0,0.0,0.0,2.2540983606557665,11.669968192160095,0.07906057185237851,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:30:00,4417.15
0.0,0.0,0.0,0.0,0.0,0.0,4.541749502981985,11.683356095082102,0.06617517275759001,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:35:00,4407.98
0.0,0.0,0.0,0.0,0.0,0.0,2.9081632653060607,11.656726383811861,0.053306375716746804,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:40:00,4418.05
0.0,0.0,0.0,0.0,0.0,0.0,4.827777777777716,11.6383917776457,0.06499232484132433,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:45:00,4425.01
0.0,0.0,0.0,0.0,0.0,0.0,4.104023552502397,11.672895988830284,0.06613214901218158,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:50:00,4411.93
0.0,0.0,0.0,0.0,0.0,0.0,1.8848484848485316,11.686590601711913,0.0438904835443255,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:55:00,4406.76
0.0,0.0,0.0,0.0,0.0,0.0,5.808633093525629,11.66847924596701,0.04064586265656712,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T01:00:00,4413.6
0.0,0.0,0.0,0.0,0.0,0.0,5.694779116465901,11.62675191446323,0.04942891202660618,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:05:00,4429.44
0.0,0.0,0.0,0.0,0.0,0.0,2.8528164748637406,11.625245923882316,0.06557360900581904,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:10:00,4422.1
0.0,0.0,0.0,0.0,0.0,0.0,3.170406306852706,11.51366232522636,0.05614228535642756,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:15:00,4427.87
0.0,0.0,0.0,0.0,0.0,0.0,4.569254185692571,11.474249439813164,0.0625405963812697,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:20:00,4436.02
0.0,0.0,0.0,0.0,0.0,0.0,6.742215785662895,11.366862977808625,0.0763053212438908,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:25:00,4465.7
0.0,0.0,0.0,0.0,0.0,0.0,0.7202272266179773,11.345842499791711,0.1146249080921636,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:30:00,4441.01
0.0,0.0,0.0,0.0,0.0,0.0,2.3264755480606985,11.341679721967116,0.08112992474071953,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:35:00,4442.64
0.0,0.0,0.0,0.0,0.0,0.0,3.8198791872597573,11.34088837371566,0.08338659220884287,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:40:00,4442.95
0.0,0.0,0.0,0.0,0.0,0.0,4.281848184818382,11.328012589928054,0.07203223979289464,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:45:00,4448.0
0.0,0.0,0.0,0.0,0.0,0.0,1.4459088412960515,11.356045273629595,0.04492112424693939,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:50:00,4437.02
0.0,0.0,0.0,0.0,0.0,0.0,0.1167415009621371,11.3567363498056,0.0030039456057889347,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T01:55:00,4436.75
0.0,0.0,0.0,0.0,0.0,0.0,1.3823529411765152,11.406535095463825,0.03857102591448468,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:00:00,4417.38
0.0,0.0,0.0,0.0,0.0,0.0,-0.4582781456953624,11.404929473777196,0.008735047941148393,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:05:00,4414.67
0.0,0.0,0.0,0.0,0.0,0.0,-0.4309825195900944,11.417006802721083,0.0025676545739055133,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:10:00,4410.0
0.0,0.0,0.0,0.0,0.0,0.0,0.21640091116178262,11.417317478026607,0.0027910955191263256,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:15:00,4409.88
0.0,0.0,0.0,0.0,0.0,0.0,-1.3211538461537835,11.431756620219733,0.00937576768186503,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:20:00,4404.31
0.0,0.0,0.0,0.0,0.0,0.0,-4.17453505007129,11.453809633220569,0.02431486537350023,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:25:00,4395.83
0.0,0.0,0.0,0.0,0.0,0.0,-0.9289372599232089,11.449668214543976,0.018890976953118616,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:30:00,4397.42
0.0,0.0,0.0,0.0,0.0,0.0,-1.9073107049607756,11.46340630442949,0.010819770648954997,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:35:00,4392.15
0.0,0.0,0.0,0.0,0.0,0.0,-1.760162601626136,11.441368355750676,0.025296564120914,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:40:00,4400.61
0.0,0.0,0.0,0.0,0.0,0.0,-1.9222323879230714,11.42107280823331,0.034047844598625455,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:45:00,4408.43
0.0,0.0,0.0,0.0,0.0,0.0,-1.2427360774819318,11.438872947607328,0.015973525033749155,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:50:00,4401.57
0.0,0.0,0.0,0.0,0.0,0.0,-1.9667444574095576,11.458162652247523,0.03103099596322624,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T02:55:00,4394.16
0.0,0.0,0.0,0.0,0.0,0.0,-4.563651591290077,11.491191433129519,0.04957891343346732,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:00:00,4381.53
0.0,0.0,0.0,0.0,0.0,0.0,-1.8143365983971564,11.214816842297347,0.09992076434420501,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:05:00,4384.2
0.0,0.0,0.0,0.0,0.0,0.0,-7.90767230169026,11.2250582165198,0.06761452934267619,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:10:00,4380.2
0.0,0.0,0.0,0.0,0.0,0.0,-9.588750000000266,11.251898220997587,0.07434821756251653,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:15:00,4365.93
0.0,0.0,0.0,0.0,0.0,0.0,-2.246738828753784,11.232691425951405,0.09186200933971692,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:20:00,4362.0
0.0,0.0,0.0,0.0,0.0,0.0,-5.904225352112853,11.227131910837373,0.10258192539368885,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T03:25:00,4364.16
0.0,0.0,0.0,0.0,0.0,0.0,-12.808641975309937,11.253278579335882,0.08698344710689164,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:30:00,4354.02
0.0,0.0,0.0,0.0,0.0,0.0,-5.039250146455677,11.261788251626745,0.09889197095305975,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:35:00,4350.73
0.0,0.0,0.0,0.0,0.0,0.0,-3.793975903614418,11.33426326247829,0.07989099849557482,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:40:00,4322.91
0.0,0.0,0.0,0.0,0.0,0.0,-0.8586638830897729,12.325703245999339,0.11031649010397658,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:45:00,4332.41
0.0,0.0,0.0,0.0,0.0,0.0,-3.230326295585403,12.344394743229653,0.0931826455613297,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:50:00,4325.85
